floors,date started,cost per square foot,years to complete,interest rate on financing,purpose,neighborhood,Target Centroid
14,2017-05-24,23.16,2,2.2,offices,rural,(floors:18-cost per square foot:25)
27, ,27.79,7,6.76,government,unknown,(floors:25-cost per square foot:25)
None,2015-01-27,27.5,7,7.88,warehouse,entertainment,(floors:18-cost per square foot:25)
18,2017-12-28,20.9,7,5.83,multi-purpose,rural,(floors:18-cost per square foot:20)
19,2007-04-13,18.74,3,6.22,hospital,entertainment,(floors:18-cost per square foot:20)
34,2012-10-26,28.27,8,2.59,government,rural,(floors:25-cost per square foot:25)
28,2016-09-21,22.43,11,4.94,government,rural,(floors:25-cost per square foot:25)
29,2003-09-29,21.11,nan,4.56,warehouse,rural,(floors:25-cost per square foot:25)
21,2008-02-10,21.1,9,6.48,warehouse,entertainment,(floors:18-cost per square foot:20)
18,2007-06-27,23.95,7,2.44,warehouse,unknown,(floors:18-cost per square foot:25)
15,2010-01-10,20.72,8,6.43,factory,mixed use,(floors:18-cost per square foot:20)
20,0,22.9,6,2.5,offices,entertainment,(floors:18-cost per square foot:20)
15,2002-11-19,29.94,1,4.17,warehouse,rural,(floors:18-cost per square foot:25)
23,2017-09-04,22.14,15, ,hospital,mixed use,(floors:25-cost per square foot:25)
16,2012-06-12,25.8,10,3.1,hospital,mixed use,(floors:18-cost per square foot:25)
24,2002-10-17,20.99,13,6.25,None,residential,(floors:25-cost per square foot:25)
16,1,27.94,11,3.93,government,residential,(floors:18-cost per square foot:25)
14,2004-08-18,24.84,9,nan,hospital,mixed use,(floors:18-cost per square foot:25)
19,2010-03-30,21.69,9,0.27,offices,unknown,(floors:18-cost per square foot:20)
24,2014-08-25,24.69,5,1.0,factory,residential,(floors:25-cost per square foot:25)
16,2020-03-06,16.57,14,3.57,warehouse,industrial,(floors:18-cost per square foot:20)
20,1,29.68,15,6.62,multi-purpose,entertainment,(floors:18-cost per square foot:25)
14,2005-04-14,25.39,1,0.81,warehouse,unknown,(floors:18-cost per square foot:25)
16,2006-06-24,18.2,8,7.13,warehouse,residential,(floors:18-cost per square foot:20)
16,2018-05-05,None,13,1,hospital,rural,(floors:18-cost per square foot:20)
18,2002-08-22,29.44,11,0.62,factory,mixed use,(floors:18-cost per square foot:25)
24,2010-07-29,29.66,13,6.33,offices,rural,(floors:25-cost per square foot:25)
15,2007-06-23,17.33,6,4.43,multi-purpose,entertainment,(floors:18-cost per square foot:20)
29,2005-10-26,25.88,2,3.14,offices,unknown,(floors:25-cost per square foot:25)
14,2016-10-16,24.35,6,3.87,hospital,entertainment,(floors:18-cost per square foot:25)
18,2007-09-03,24.25,7,1,warehouse,mixed use,(floors:18-cost per square foot:25)
20,2008-06-11,21.85,8,7.3,offices,entertainment,(floors:18-cost per square foot:20)
19,0,17.87,8,0.49,multi-purpose,entertainment,(floors:18-cost per square foot:20)
15,2003-09-21,24.21,4,5.23,factory,industrial,(floors:18-cost per square foot:25)
29,2019-12-09,24.94,11,None,multi-purpose,rural,(floors:25-cost per square foot:25)
29,2014-10-31,25.63,2,7.7,hospital,entertainment,(floors:25-cost per square foot:25)
24,2002-06-04,26.22, ,2.07,government,residential,(floors:25-cost per square foot:25)
20,2022-02-26,6.57,1,2.32,government,residential,(floors:18-cost per square foot:25)
15,2006-10-17,16.06,7,2.6,government,residential,(floors:18-cost per square foot:20)
24,2016-01-03,24.22,10,6.22,hospital,industrial,(floors:25-cost per square foot:25)
19,1,19.39,14,0.87,offices,entertainment,(floors:18-cost per square foot:20)
28,2008-06-21,20.09,4,0.63,offices,unknown,(floors:25-cost per square foot:25)
28,2015-10-25,25.24,1,4.96,government,entertainment,(floors:25-cost per square foot:25)
15,2008-06-16,23.4,7,6.77,offices,industrial,(floors:18-cost per square foot:20)
16,2017-02-26,28.1,6,7.48,factory,mixed use,(floors:18-cost per square foot:25)
17,2010-01-06,16.67,1,6.21,factory,entertainment,(floors:18-cost per square foot:20)
14,2015-01-17,26.79,12,6.57,offices,mixed use,(floors:18-cost per square foot:20)
31,2015-02-24,24.69, ,7.65,warehouse,industrial,(floors:18-cost per square foot:25)
15,None,20.02,3,2.73,hospital,industrial,(floors:18-cost per square foot:20)
21,2022-04-08,20.12,6,1.18,multi-purpose,unknown,(floors:18-cost per square foot:25)
19,2014-07-11,None,2,1.43,government,entertainment,(floors:18-cost per square foot:25)
15,2006-07-26,23.48,3,4.74,hospital,mixed use,(floors:18-cost per square foot:20)
18,2007-09-05,25.66,5,5.75,hospital,None,(floors:18-cost per square foot:25)
36,2011-02-28,28.59,12,0.54,government,rural,(floors:18-cost per square foot:25)
21,2017-07-10,21.63,8,2.09,government,unknown,(floors:18-cost per square foot:20)
16,2015-07-20,27.33,7,2.27, ,residential,(floors:18-cost per square foot:25)
None,2005-10-20,16.43,7,4.12,offices, ,(floors:18-cost per square foot:20)
21,2019-02-27,21.87,4,0.81,warehouse,residential,(floors:25-cost per square foot:25)
20,2023-11-22,23.94,14,3.59,government,unknown,(floors:18-cost per square foot:25)
17,2009-06-16,26.03,12,0.58,offices,rural,(floors:18-cost per square foot:25)
15,2001-07-30,26.85,11,2.62,factory,unknown,(floors:18-cost per square foot:25)
17,2011-10-21,18.0,2,3.69,multi-purpose,unknown,(floors:18-cost per square foot:20)
15,2019-02-15,19.74,10,5.59,multi-purpose,mixed use,(floors:18-cost per square foot:20)
16,2015-12-30,24.8,7,7.15,government,residential,(floors:18-cost per square foot:25)
29,2017-09-14,27.05,2,3.24,hospital,entertainment,(floors:25-cost per square foot:25)
26,2019-06-09,29.9,7,None,hospital,residential,(floors:25-cost per square foot:25)
18,2002-10-29,22.83,7,3.05,factory,unknown,(floors:18-cost per square foot:25)
17,2004-03-11,22.47,7,0.73,government,entertainment,(floors:18-cost per square foot:20)
29,None,26.57,6,0,None,unknown,(floors:25-cost per square foot:25)
17,2016-06-04,23.06,5,3.51,multi-purpose, ,(floors:18-cost per square foot:25)
19,2013-08-30,23.73,13,1.22,multi-purpose,industrial,(floors:18-cost per square foot:20)
16,2007-10-10,21.69,12,7.07,government,rural,(floors:18-cost per square foot:25)
nan,None,21.09,5,2.75,factory,unknown,(floors:18-cost per square foot:20)
27,2020-05-25,20.04,14,6.22,multi-purpose,rural,(floors:25-cost per square foot:25)
18,2001-01-04,25.41,14, ,government,industrial,(floors:18-cost per square foot:25)
19,2015-02-24,19.48,9,0.54,factory,residential,(floors:18-cost per square foot:20)
21,2006-01-28,23.72,1,3.12,multi-purpose,industrial,(floors:18-cost per square foot:20)
25,2001-01-11,21.15,6,2.68,factory,residential,(floors:25-cost per square foot:25)
14,2020-02-17,22.79,9,None,hospital,industrial,(floors:18-cost per square foot:20)
14,2020-04-15,21.09,15,5.12,factory,industrial,(floors:18-cost per square foot:20)
18,2005-02-21,28.11,15,6.9,factory,unknown,(floors:18-cost per square foot:25)
17,2018-10-14,22.04,3,4.12,hospital,industrial,(floors:18-cost per square foot:25)
18,2012-01-15,29.94,13,0.75,hospital,mixed use,(floors:18-cost per square foot:25)
18,2020-04-16,23.94,3,5.25,factory,1,(floors:18-cost per square foot:20)
20,2010-02-13,21.68,2,6.75,factory,rural,(floors:18-cost per square foot:25)
26,2005-03-04,20.12,6,5.48,offices,mixed use,(floors:25-cost per square foot:25)
20,2023-10-17,10.899999999999999,12,5.93,hospital,unknown,(floors:18-cost per square foot:20)
19,2019-07-12,18.74,10,7.76,hospital,unknown,(floors:18-cost per square foot:20)
16,2002-05-28,35.730000000000004,nan,6.66,0,entertainment,(floors:18-cost per square foot:25)
15,2015-11-28,19.05,6,5.16,offices,rural,(floors:18-cost per square foot:20)
16,None,25.05,5,1.66,government,unknown,(floors:18-cost per square foot:25)
27,2000-08-29,28.86,4,7.35,0,industrial,(floors:25-cost per square foot:25)
20,2018-03-23,25.33,10,3.46,hospital,unknown,(floors:18-cost per square foot:25)
26,2010-06-22,21.76,4,2.22,offices,rural,(floors:18-cost per square foot:20)
20,2010-04-02,25.46,1,7.3,factory,industrial,(floors:25-cost per square foot:25)
23,2002-11-29,24.45,14,2.39,offices,entertainment,(floors:25-cost per square foot:25)
26,2006-08-02,27.96,3,6.75,hospital,rural,(floors:25-cost per square foot:25)
15,2018-10-21,20.27,2,4.95,factory,unknown,(floors:18-cost per square foot:20)
20,2002-12-02,29.26,11,3.07,warehouse,entertainment,(floors:25-cost per square foot:25)
21,2001-06-01,20.77,9,5.02,factory,residential,(floors:18-cost per square foot:25)
18,2011-01-06,24.66,1,0.22,offices,unknown,(floors:18-cost per square foot:25)
15,2013-10-31,25.86,1,2.39,government,unknown,(floors:18-cost per square foot:25)
18,2016-09-17,26.36,8,7.8,warehouse,residential,(floors:18-cost per square foot:25)
14,2006-12-17,24.97,5,4.9,offices,residential,(floors:18-cost per square foot:25)
17,2010-08-30,17.55,11,2.84,offices,entertainment,(floors:18-cost per square foot:20)
20,2007-10-25,28.44,14,3.55,offices,industrial,(floors:25-cost per square foot:25)
27,2004-04-27,20.76,15,0.2,offices,entertainment,(floors:25-cost per square foot:25)
21,2001-04-12,19.49,14,0.38,offices,residential,(floors:18-cost per square foot:20)
21,2016-10-27,20.67,11,6.53,factory,residential,(floors:25-cost per square foot:25)
14,2015-02-25,24.99,2,0.76,government,entertainment,(floors:18-cost per square foot:25)
16,2006-07-21,24.73,3,7.06,hospital,unknown,(floors:18-cost per square foot:25)
20,2005-03-28,23.41, ,7.46,warehouse,unknown,(floors:25-cost per square foot:25)
17,2003-10-05,28.67,7,2.55,multi-purpose,rural,(floors:18-cost per square foot:25)
23,2005-07-26,22.24,10,5.83,factory,industrial,(floors:25-cost per square foot:25)
21,2011-02-27,28.81,1,1.99,factory,rural,(floors:25-cost per square foot:25)
16,2015-04-01,26.73,8,4.03,hospital,industrial,(floors:18-cost per square foot:25)
15,None,25.75,1,6.47,warehouse,industrial,(floors:18-cost per square foot:20)
27,2002-07-13,26.23,13,0.32,hospital,rural,(floors:25-cost per square foot:25)
15,2005-06-07,23.07,6,7.79,hospital,entertainment,(floors:18-cost per square foot:20)
21,2007-08-28,21.37,9,7.07,offices,residential,(floors:25-cost per square foot:25)
19,2008-05-15,20.14,6,7.8,warehouse,residential,(floors:18-cost per square foot:25)
26,2005-02-04,29.12,10,3.92,multi-purpose,unknown,(floors:25-cost per square foot:25)
16,2017-07-01,0,12,5.1,factory,entertainment,(floors:18-cost per square foot:20)
18,2003-06-14,22.63, ,6.94,government,industrial,(floors:18-cost per square foot:25)
18,2018-01-22,22.29,9,6.57,factory,industrial,(floors:18-cost per square foot:20)
16,2019-10-08,20.88,11,6.2,hospital,mixed use,(floors:18-cost per square foot:20)
20,2001-07-05,nan,9,1.29,government,unknown,(floors:18-cost per square foot:25)
17,2018-07-26,21.27,11,5.22,multi-purpose,industrial,(floors:18-cost per square foot:20)
0,2007-11-10,28.44,1,7.54,factory,entertainment,(floors:18-cost per square foot:25)
18,2012-11-30,27.68,6,4.56,hospital,mixed use,(floors:18-cost per square foot:25)
0,2019-01-13,1,7,0.34,factory,residential,(floors:25-cost per square foot:25)
16,2010-09-12,28.39,9,0.34,factory,entertainment,(floors:18-cost per square foot:25)
22,2012-06-02,27.01,15, ,hospital,rural,(floors:25-cost per square foot:25)
20,2020-09-30,nan,0,0.48,hospital,mixed use,(floors:25-cost per square foot:25)
22,2022-09-11,29.3,None,6.07,multi-purpose,None,(floors:25-cost per square foot:25)
21,2014-02-15,22.12,9,7.42,offices,mixed use,(floors:18-cost per square foot:25)
18,2012-03-17,27.39,4,6.11,multi-purpose,industrial,(floors:18-cost per square foot:25)
20,2018-05-11,23.87,3,5.6,multi-purpose,unknown,(floors:18-cost per square foot:25)
29,2017-01-26,29.06,10,0.8,hospital,residential,(floors:25-cost per square foot:25)
21,nan,26.93,3,6.34,factory,unknown,(floors:18-cost per square foot:25)
15,2006-09-03,17.95,2,4.03,multi-purpose, ,(floors:18-cost per square foot:20)
28,2008-07-10,25.88,14,7.58,offices,entertainment,(floors:25-cost per square foot:25)
30,2007-04-18,26.33,2,5.7,hospital,industrial,(floors:18-cost per square foot:25)
27,2007-11-20,22.82,6,1.89,offices,residential,(floors:25-cost per square foot:25)
27,2013-08-30,21.77,5,4.57,government,unknown,(floors:25-cost per square foot:25)
22,2013-08-31,24.11,1,7.49,offices,mixed use,(floors:25-cost per square foot:25)
20,2000-01-12,19.38,7,5.66,government,unknown,(floors:18-cost per square foot:20)
16,2012-02-20,17.36,10,1.15,government,unknown,(floors:18-cost per square foot:20)
21,2021-01-24,18.14,2,6.94,government,unknown,(floors:18-cost per square foot:20)
17,2014-01-23,21.04,1,2.93,hospital,rural,(floors:18-cost per square foot:20)
16,2001-09-27,21.15, ,4.39,warehouse,residential,(floors:18-cost per square foot:20)
28,2005-10-09,28.93,13,1.47,hospital,rural,(floors:25-cost per square foot:25)
17,2002-05-11,23.77,14,1.25,hospital,industrial,(floors:18-cost per square foot:20)
18,2015-08-03,22.86,13,4.72,offices,residential,(floors:18-cost per square foot:20)
3,2003-11-05,29.4,12,nan,hospital,rural,(floors:18-cost per square foot:25)
19,2015-03-05,17.12,13,nan,multi-purpose,rural,(floors:18-cost per square foot:20)
16,2016-01-10,23.52,11,6.88,warehouse,mixed use,(floors:18-cost per square foot:20)
21,2003-09-02,23.53,6,6.77,hospital, ,(floors:25-cost per square foot:25)
16,nan,38.03, ,6.38,factory,industrial,(floors:18-cost per square foot:25)
16,2023-07-28,10.940000000000001,5,1.54,government,unknown,(floors:18-cost per square foot:25)
17,2007-10-16,23.15,7,0.1,hospital,mixed use,(floors:18-cost per square foot:20)
19,2001-12-18,16.43,2,4.41,offices,mixed use,(floors:18-cost per square foot:20)
17,2010-10-04,17.63,8,3.68,warehouse,unknown,(floors:18-cost per square foot:20)
nan,2022-08-10,17.97,15, ,offices,1,(floors:18-cost per square foot:20)
21,None,25.87,5,5.0,multi-purpose,entertainment,(floors:25-cost per square foot:25)
26,2009-12-24,25.79,2,0.85,offices,rural,(floors:25-cost per square foot:25)
15,2007-07-26,27.68,12,2.02,warehouse,mixed use,(floors:18-cost per square foot:25)
21,2012-10-02,1,6,6.32,factory,rural,(floors:18-cost per square foot:20)
20,2008-06-17,27.83,6,5.86,hospital,rural,(floors:18-cost per square foot:25)
15,2004-12-16,29.34,15,1.33,warehouse,entertainment,(floors:18-cost per square foot:25)
28,2015-04-27,26.97,5,2.32,hospital,mixed use,(floors:25-cost per square foot:25)
